2021-04-29 18:00:34,249 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 18:00:34,249 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 18:00:34,257 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 18:00:36,317 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2021-04-29 18:00:36,432 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2021-04-29 18:00:36,509 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2021-04-29 18:00:39,165 | DEBUG | ulauncher.api.shared.action.RunScriptAction: run() | Running a script from /tmp/ulauncher_RunScript_wpma5jfs
2021-04-29 18:00:39,177 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 18:00:40,170 | DEBUG | ulauncher.api.shared.action.RunScriptAction: remove_temp_file() | Deleting a temporary file /tmp/ulauncher_RunScript_wpma5jfs
2021-04-29 18:02:27,602 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 18:02:27,602 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 18:02:27,603 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 18:02:27,603 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 18:02:27,620 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 18:02:28,724 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2021-04-29 18:02:28,849 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2021-04-29 18:02:28,943 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2021-04-29 18:02:29,335 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Discord (/usr/share/applications/discord.desktop)
2021-04-29 18:02:29,350 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 18:05:23,384 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 18:05:23,384 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 18:05:23,392 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 18:05:23,392 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 18:05:23,404 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 18:05:23,800 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2021-04-29 18:05:23,985 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2021-04-29 18:05:24,163 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2021-04-29 18:05:24,401 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Add/Remove Software (/usr/share/applications/org.manjaro.pamac.manager.desktop)
2021-04-29 18:05:24,406 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 18:06:58,134 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 18:06:58,134 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 18:06:58,134 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 18:06:58,134 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 18:06:58,140 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 18:06:58,547 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2021-04-29 18:06:58,741 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2021-04-29 18:06:58,927 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2021-04-29 18:06:59,126 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Add/Remove Software (/usr/share/applications/org.manjaro.pamac.manager.desktop)
2021-04-29 18:06:59,135 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 18:14:05,786 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 18:14:05,786 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 18:14:05,787 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 18:14:05,787 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 18:14:05,798 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 18:14:06,094 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 6 results
2021-04-29 18:14:06,286 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2021-04-29 18:14:06,507 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2021-04-29 18:14:06,587 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2021-04-29 18:14:06,982 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Files (/usr/share/applications/org.gnome.Nautilus.desktop)
